* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test Real Dec 10
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
290.039084, 101.758, -117.6334
290.405295, 101.746, -118.0192
290.771506, 101.719, -118.4046
291.137717, 101.677, -118.7437
291.503928, 101.620, -119.0029
291.870139, 101.548, -119.1578
292.236350, 101.465, -119.1867
292.602561, 101.374, -119.0701
292.968772, 101.287, -118.8048
293.334983, 101.217, -118.4260
293.701194, 101.175, -118.0192
294.067405, 101.162, -117.6974
294.433616, 101.169, -117.5508
294.799827, 101.182, -117.5992
295.166038, 101.185, -117.7859
295.532249, 101.174, -118.0151
295.898460, 101.153, -118.2063
296.264671, 101.128, -118.3250
296.630882, 101.102, -118.3736
296.997093, 101.075, -118.3587
297.363304, 101.047, -118.2700
297.729515, 101.022, -118.0963
298.095726, 101.005, -117.8603
298.461937, 101.003, -117.6314
298.828148, 101.009, -117.4900
299.194359, 101.014, -117.4679
299.560570, 101.007, -117.5201
299.926781, 100.989, -117.5589
300.292992, 100.975, -117.5286
300.659203, 100.982, -117.4650
301.025413, 101.014, -117.4838
301.391624, 101.062, -117.6974
301.757835, 101.102, -118.1281
302.124046, 101.111, -118.6805
302.490257, 101.080, -119.1891
302.856468, 101.017, -119.4963
303.222679, 100.941, -119.5192
303.588890, 100.874, -119.2735
303.955101, 100.832, -118.8551
304.321312, 100.821, -118.3960
304.687523, 100.838, -118.0220
305.053734, 100.871, -117.8229
305.419945, 100.907, -117.8304
305.786156, 100.929, -118.0077
306.152367, 100.931, -118.2593
306.518578, 100.915, -118.4682
306.884789, 100.893, -118.5510
307.251000, 100.883, -118.5027
307.617211, 100.897, -118.4003
307.983422, 100.932, -118.3557
308.349633, 100.977, -118.4496
308.715844, 101.016, -118.6937
309.082055, 101.037, -119.0388
309.448266, 101.037, -119.4138
