* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
182.373060, 106.935, -44.2250
182.739271, 106.927, -44.5683
183.105482, 106.921, -44.9103
183.471693, 106.916, -45.2548
183.837904, 106.912, -45.6066
184.204115, 106.908, -45.9700
184.570326, 106.903, -46.3447
184.936537, 106.896, -46.7255
185.302748, 106.887, -47.1053
185.668959, 106.877, -47.4807
186.035170, 106.867, -47.8564
186.401381, 106.857, -48.2437
186.767592, 106.847, -48.6540
187.133803, 106.836, -49.0916
187.500014, 106.823, -49.5516
187.866225, 106.807, -50.0237
188.232436, 106.789, -50.4986
188.598647, 106.771, -50.9736
188.964857, 106.752, -51.4514
189.331068, 106.733, -51.9357
189.697279, 106.713, -52.4254
190.063490, 106.690, -52.9136
190.429701, 106.664, -53.3914
190.795912, 106.638, -53.8531
191.162123, 106.611, -54.3000
191.528334, 106.586, -54.7393
191.894545, 106.561, -55.1797
192.260756, 106.535, -55.6264
192.626967, 106.507, -56.0792
192.993178, 106.477, -56.5344
193.359389, 106.446, -56.9883
193.725600, 106.413, -57.4395
194.091811, 106.380, -57.8884
194.458022, 106.346, -58.3347
194.824233, 106.312, -58.7751
195.190444, 106.276, -59.2036
195.556655, 106.240, -59.6139
195.922866, 106.204, -60.0029
196.289077, 106.168, -60.3723
196.655288, 106.132, -60.7272
197.021499, 106.097, -61.0736
197.387710, 106.061, -61.4142
197.753921, 106.024, -61.7485
198.120132, 105.988, -62.0731
198.486343, 105.951, -62.3845
198.852554, 105.916, -62.6814
199.218765, 105.881, -62.9653
199.584976, 105.847, -63.2393
199.951187, 105.814, -63.5062
200.317397, 105.781, -63.7675
200.683608, 105.747, -64.0229
201.049819, 105.713, -64.2715
201.416030, 105.680, -64.5135
201.782241, 105.648, -64.7499
202.148452, 105.617, -64.9819
202.514663, 105.588, -65.2090
202.880874, 105.561, -65.4286
203.247085, 105.535, -65.6375
203.613296, 105.511, -65.8351
203.979507, 105.488, -66.0253
204.345718, 105.467, -66.2142
204.711929, 105.446, -66.4071
205.078140, 105.424, -66.6039
205.444351, 105.401, -66.7990
205.810562, 105.378, -66.9850
206.176773, 105.355, -67.1592
206.542984, 105.335, -67.3255
206.909195, 105.318, -67.4927
207.275406, 105.303, -67.6683
207.641617, 105.288, -67.8536
208.007828, 105.273, -68.0439
208.374039, 105.259, -68.2340
208.740250, 105.246, -68.4230
209.106461, 105.236, -68.6169
209.472672, 105.228, -68.8245
209.838883, 105.223, -69.0518
210.205094, 105.218, -69.2979
210.571305, 105.214, -69.5563
210.937516, 105.210, -69.8196
211.303726, 105.206, -70.0835
211.669937, 105.205, -70.3486
212.036148, 105.204, -70.6188
212.402359, 105.206, -70.8986
212.768570, 105.208, -71.1913
213.134781, 105.210, -71.4977
213.500992, 105.211, -71.8167
213.867203, 105.211, -72.1450
214.233414, 105.210, -72.4781
214.599625, 105.208, -72.8121
214.965836, 105.205, -73.1451
215.332047, 105.203, -73.4786
215.698258, 105.202, -73.8167
216.064469, 105.201, -74.1627
216.430680, 105.198, -74.5168
216.796891, 105.195, -74.8759
217.163102, 105.190, -75.2346
217.529313, 105.183, -75.5890
217.895524, 105.176, -75.9385
218.261735, 105.168, -76.2867
218.627946, 105.162, -76.6400
218.994157, 105.155, -77.0052
219.360368, 105.149, -77.3867
219.726579, 105.141, -77.7849
220.092790, 105.131, -78.1957
220.459001, 105.119, -78.6122
220.825212, 105.105, -79.0286
221.191423, 105.089, -79.4432
221.557634, 105.072, -79.8594
221.923845, 105.053, -80.2825
222.290056, 105.032, -80.7158
222.656266, 105.008, -81.1564
223.022477, 104.979, -81.5974
223.388688, 104.948, -82.0323
223.754899, 104.916, -82.4603
224.121110, 104.883, -82.8875
224.487321, 104.849, -83.3213
224.853532, 104.812, -83.7645
225.219743, 104.771, -84.2114
225.585954, 104.726, -84.6504
225.952165, 104.677, -85.0710
226.318376, 104.627, -85.4706
226.684587, 104.576, -85.8544
227.050798, 104.525, -86.2308
227.417009, 104.474, -86.6059
227.783220, 104.420, -86.9797
228.149431, 104.365, -87.3481
228.515642, 104.308, -87.7067
228.881853, 104.248, -88.0533
229.248064, 104.188, -88.3873
229.614275, 104.126, -88.7070
229.980486, 104.062, -89.0093
230.346697, 103.998, -89.2910
230.712908, 103.933, -89.5509
231.079119, 103.868, -89.7906
231.445330, 103.803, -90.0120
231.811541, 103.737, -90.2154
232.177752, 103.670, -90.3981
232.543963, 103.602, -90.5569
232.910174, 103.534, -90.6903
233.276385, 103.465, -90.7989
233.642595, 103.396, -90.8828
234.008806, 103.327, -90.9401
234.375017, 103.259, -90.9663
234.741228, 103.191, -90.9586
235.107439, 103.124, -90.9182
235.473650, 103.060, -90.8504
235.839861, 102.997, -90.7606
236.206072, 102.935, -90.6491
236.572283, 102.874, -90.5114
236.938494, 102.815, -90.3423
237.304705, 102.760, -90.1423
237.670916, 102.709, -89.9193
238.037127, 102.664, -89.6840
238.403338, 102.624, -89.4432
238.769549, 102.587, -89.1957
239.135760, 102.552, -88.9352
239.501971, 102.522, -88.6573
239.868182, 102.496, -88.3655
240.234393, 102.474, -88.0685
240.600604, 102.457, -87.7753
240.966815, 102.443, -87.4880
241.333026, 102.431, -87.2029
241.699237, 102.421, -86.9146
242.065448, 102.416, -86.6233
242.431659, 102.417, -86.3367
242.797870, 102.423, -86.0654
243.164081, 102.436, -85.8176
243.530292, 102.453, -85.5955
243.896503, 102.474, -85.3956
244.262714, 102.499, -85.2131
244.628925, 102.528, -85.0454
244.995135, 102.561, -84.8931
245.361346, 102.598, -84.7592
245.727557, 102.638, -84.6476
246.093768, 102.682, -84.5622
246.459979, 102.727, -84.5055
246.826190, 102.774, -84.4777
247.192401, 102.822, -84.4764
247.558612, 102.870, -84.4979
247.924823, 102.919, -84.5394
248.291034, 102.968, -84.6010
248.657245, 103.019, -84.6854
249.023456, 103.069, -84.7961
249.389667, 103.118, -84.9343
249.755878, 103.165, -85.0974
250.122089, 103.209, -85.2810
250.488300, 103.252, -85.4807
250.854511, 103.294, -85.6942
251.220722, 103.335, -85.9222
251.586933, 103.376, -86.1674
251.953144, 103.416, -86.4326
252.319355, 103.457, -86.7202
252.685566, 103.497, -87.0300
253.051777, 103.535, -87.3594
253.417988, 103.572, -87.7035
253.784199, 103.606, -88.0575
254.150410, 103.639, -88.4194
254.516621, 103.671, -88.7915
254.882832, 103.701, -89.1783
255.249043, 103.728, -89.5829
255.615254, 103.751, -90.0031
255.981465, 103.770, -90.4312
256.347675, 103.784, -90.8582
256.713886, 103.794, -91.2791
257.080097, 103.803, -91.6953
257.446308, 103.811, -92.1134
257.812519, 103.817, -92.5394
258.178730, 103.822, -92.9751
258.544941, 103.825, -93.4183
258.911152, 103.825, -93.8647
259.277363, 103.824, -94.3121
259.643574, 103.822, -94.7599
260.009785, 103.819, -95.2084
260.375996, 103.814, -95.6561
260.742207, 103.808, -96.1006
261.108418, 103.801, -96.5402
261.474629, 103.792, -96.9753
261.840840, 103.782, -97.4067
262.207051, 103.769, -97.8333
262.573262, 103.753, -98.2508
262.939473, 103.734, -98.6540
263.305684, 103.712, -99.0403
263.671895, 103.689, -99.4132
264.038106, 103.664, -99.7802
264.404317, 103.638, -100.1483
264.770528, 103.609, -100.5188
265.136739, 103.577, -100.8860
265.502950, 103.544, -101.2417
265.869161, 103.509, -101.5804
266.235372, 103.476, -101.9036
266.601583, 103.445, -102.2175
266.967794, 103.414, -102.5284
267.334004, 103.384, -102.8368
267.700215, 103.352, -103.1367
268.066426, 103.317, -103.4194
268.432637, 103.280, -103.6793
268.798848, 103.242, -103.9178
269.165059, 103.204, -104.1416
269.531270, 103.166, -104.3588
269.897481, 103.127, -104.5731
270.263692, 103.088, -104.7814
270.629903, 103.048, -104.9772
270.996114, 103.009, -105.1547
271.362325, 102.973, -105.3142
271.728536, 102.938, -105.4614
272.094747, 102.907, -105.6039
272.460958, 102.877, -105.7468
272.827169, 102.847, -105.8903
273.193380, 102.819, -106.0320
273.559591, 102.791, -106.1707
273.925802, 102.765, -106.3086
274.292013, 102.742, -106.4492
274.658224, 102.721, -106.5936
275.024435, 102.701, -106.7378
275.390646, 102.682, -106.8755
275.756857, 102.665, -107.0045
276.123068, 102.651, -107.1306
276.489279, 102.640, -107.2668
